,OfferingClass,Reserved-3 Year All Upfront,Reserved-3 Year Partial Upfront,Reserved-3 Year No Upfront,Reserved-1 Year All Upfront,Reserved-1 Year Partial Upfront,Reserved-1 Year No Upfront,On-Demand/Mes,On-Demand/1year
0,standard,3259,3467.48,3731.7599999999998,1751,1787.52,1874.6399999999999,248.20000000000002,2978.4
1,convertible,3914,3994.2799999999997,4309.92,2014,2052.92,2154.96,248.20000000000002,2978.4
