,OfferingClass,Reserved-3 Year All Upfront,Reserved-3 Year Partial Upfront,Reserved-3 Year No Upfront,Reserved-1 Year All Upfront,Reserved-1 Year Partial Upfront,Reserved-1 Year No Upfront,On-Demand/Mes,On-Demand/1year
0,convertible,229,279.284,262.8,135,119.568,126.144,16.79,201.48
1,standard,,242.888,302.21999999999997,118,138.204,144.54,16.79,201.48
